mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,zero_crossing_rate,rms_energy,label
-188.27396,13.962483,-55.626656,-25.382057,-17.78785,-4.357188,-13.864551,0.10204563,0.169242,-0.0013712883,-6.1280017,0.45140576,1.8593972,3886.810671560369,2789.9666546089243,7383.7353515625,0.20369065,16.598969869055946,0.231640625,0.0513071,Clap
-130.2612,27.156076,-57.18859,-6.061967,-5.5751953,10.509281,-10.624365,-1.4382126,-9.104111,4.0468316,-6.336763,2.0903296,-3.8735209,3513.6879038348757,2563.4893334376316,6686.0595703125,0.14904043,15.144922596951403,0.1978759765625,0.07779339,Clap
5.805975,84.12509,-93.39496,-22.601315,-9.680249,-16.551905,-20.827566,-5.169632,2.2772079,-4.21562,-4.428855,-10.58721,-11.558868,2213.871833008646,1780.9864522580122,3283.8134765625,0.02021057,15.889790416101224,0.1068115234375,0.24675234,Clap
-147.91298,63.605476,-72.29275,-26.99651,-25.596039,1.8245947,-5.221541,2.045097,-5.41009,-3.283531,-8.846264,-1.9398926,-6.598906,2641.5160366435475,2102.522759813099,4699.0234375,0.06386977,18.000479820047346,0.1542426215277778,0.11639873,Clap
-120.39922,59.06177,-80.9901,-10.789403,-23.52873,-0.32360864,-15.388381,1.4601932,-10.765707,0.34928453,-7.324581,1.5403049,-8.033538,2700.8526142945493,2077.627739047666,4842.279052734375,0.04957901,17.24448730353009,0.14849853515625,0.13639359,Clap
-174.64586,10.664412,-49.14317,-17.0383,-24.938768,1.5978959,-5.746665,6.0396657,-4.043901,3.0717888,-1.7718127,0.6734637,-4.808186,3912.419148582406,2721.3740362358603,7231.5673828125,0.19880038,16.970496688588277,0.22623697916666666,0.08304293,Clap
-72.12425,76.07487,-61.272354,-11.367444,-37.901047,-10.90925,-21.898636,-6.726379,-14.57885,-2.065694,-8.250218,-0.008822497,-6.246168,2528.7366533890877,2176.8071330749394,4803.80428538603,0.048398167,18.64774086115484,0.13987821691176472,0.13238625,Clap
-73.17293,64.94151,-74.057625,1.7420313,-6.0471582,15.623772,-8.093226,1.971425,-1.2131405,3.4702854,-6.7350817,-4.382305,-9.527321,2676.3800926643444,2015.3873882502169,4716.84814453125,0.07154176,17.8381659065907,0.141162109375,0.18348995,Clap
-88.310684,55.587036,-92.518524,-4.19123,-19.247997,9.007145,-12.880937,-1.1904755,-9.528822,0.54171556,-5.7384806,-0.23441598,-7.764512,2700.0343319271237,1913.3889393601585,4550.907897949219,0.053496473,18.9674805056671,0.167388916015625,0.15598337,Clap
-54.93157,49.61492,-72.231125,1.4916532,-20.851475,5.622561,-9.892249,0.9709469,-12.287473,-0.5361686,-7.592122,0.715942,-5.672156,3035.3139393974475,2139.3288817301495,5289.63134765625,0.099267304,18.626139694799488,0.1939453125,0.173418,Clap
-49.497463,59.000504,-28.079731,22.024181,-14.425409,2.5975409,-12.964435,-2.2033105,-13.979574,-6.183198,-13.963956,-6.201257,-10.984657,3116.4020925622244,2516.3465609845443,5985.597139246323,0.10825454,19.13427134246007,0.18531709558823528,0.1357496,Clap
-119.96904,154.69984,-69.5589,5.7308693,-39.23393,-16.351084,-22.258635,-11.44244,-12.777647,-6.4888406,-7.9067674,-4.1300116,-7.736451,1548.7566675918056,1431.043374162817,2806.494140625,0.011804175,19.807280133734807,0.08161272321428571,0.15022781,Clap
-127.08995,47.224766,-78.08529,-28.147793,-43.463207,-4.821097,-13.579349,-0.48908797,-10.773661,-4.068357,-10.341675,-1.297074,-7.3964295,2821.032636587659,2258.3679201793375,5323.546142578125,0.057651855,18.901298865880307,0.1550537109375,0.093640365,Clap
-105.94647,87.94807,-80.26007,-10.692087,-22.552343,3.2074757,-12.671251,-2.0293624,-9.166046,0.070654914,-6.5090647,-2.3077753,-6.0040803,2289.4860475091455,1842.4434278701926,4039.62890625,0.03182584,18.23088693464385,0.1017578125,0.15915766,Clap
